species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Tephrosia polystachya,n,pinnately_compound,forb,round_forb,9,round_herb,low,9,8.31111111111111,9,5.44444444444445,9,60,40.4444444444444,9,13.7555555555556,48.8722222222222,9,1
Tephrosia purpurea,n,pinnately_compound,forb,messy_forb,23,messy_herb,low,22,5.05652173913044,23,3.30869565217391,23,46,24.495652173913,23,8.36521739130435,17.085652173913,23,1
Themeda triandra,n,linear,graminoid,relaxed_tussock_graminoid,24,round_herb,low,24,17.9208333333333,24,0.45,24,110,73.5416666666667,24,18.3708333333333,8.85375,24,1
Thunbergia natalensis,n,simple,forb,round_forb,1,round_herb,medium,1,4,1,4,1,21,21,1,8,16,1,2
Trachypogon spicatus,n,linear,graminoid,large_graminoid,9,straight_herb,high,9,61.8333333333333,9,0.688888888888889,9,106,69.6666666666667,9,62.5222222222222,48.4388888888889,9,3
Tragia dioica,n,simple,forb,climbing_forb,11,climbing_herb,low,11,4.30909090909091,11,1.82727272727273,11,51,38.4545454545455,11,6.13636363636364,8.47636363636364,11,1
Tragus berteronianus,n,linear,graminoid,sparse_upward_graminoid,7,straight_herb,low,7,3.85714285714286,7,0.385714285714286,7,16,10.4285714285714,7,4.24285714285714,1.46428571428571,7,1
Tricliceras schinzii,n,lobed,forb,round_forb,1,round_herb,medium,1,12,1,1.6,1,20,20,1,13.6,19.2,1,2
Trimeria grandifolia,n,simple,shrub,straight_forb,1,straight_herb,low,1,5.5,1,2.7,1,90,90,1,8.2,14.85,1,1
Urochloa mosambicensis,n,linear,graminoid,sparse_upward_graminoid,26,straight_herb,low,26,14.0538461538462,26,1.00769230769231,26,82,48.0769230769231,26,15.0615384615385,14.5226923076923,26,1
Vachellia exuvialis,>2,pinnately_compound,tree,tree_multi_stemmed,6,multi_stemmed_woody,medium,6,6.85,6,3.63333333333333,6,260,156.333333333333,6,10.4833333333333,25.37,6,2
Vachellia gerrardii,>2,pinnately_compound,shrub,tree_single_stemmed,11,single_stemmed_woody,medium,10,4.90909090909091,11,2.8,8,420,196,11,7.675,14.825,8,2
Vachellia grandicornuta,>2,pinnately_compound,tree,tree_single_stemmed,1,single_stemmed_woody,high,1,4.9,1,4.4,1,1200,1200,1,9.3,21.56,1,3
Vachellia karroo,>2,pinnately_compound,tree,tree_single_stemmed,4,single_stemmed_woody,medium,4,6.25,4,4,4,600,328.75,4,10.25,25.6125,4,2
Vachellia tortillis,<2,pinnately_compound,tree,tree_multi_stemmed,6,multi_stemmed_woody,medium,6,4.53333333333333,6,2.96666666666667,6,700,424.666666666667,6,7.5,14.025,6,2
Vigna vexillata,n,palmately_compound,forb,creeping_forb,3,creeping_herb,medium,3,8.23333333333333,3,6.53333333333333,3,85,58.3333333333333,3,14.7666666666667,53.4466666666667,3,2
Viscum rotundifolia,n,simple,forb,parasite,5,parasitic_herb,low,5,1,5,0.9,5,27,20.6,5,1.9,0.906,5,1
Volkameria glabra,n,simple,shrub,shrub_single_stemmed,2,single_stemmed_woody,high,2,5.85,2,2.95,2,150,147.5,2,8.8,17.285,2,3
Waltheria indica,n,simple,forb,straight_forb,10,straight_herb,medium,10,5.03,10,2.84,10,61,53.2,10,7.87,15.775,10,2
