species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Enneapogon scoparus,n,linear,graminoid,creeping_graminoid,1,creeping_herb,low,1,10,1,0.1,1,5,5,1,10.1,1,1,1
Eragrostis cylindrifolia,n,linear,graminoid,sparse_upward_graminoid,5,straight_herb,low,5,15.5,5,0.4,5,39,27.8,5,15.9,6.41,5,1
Eragrostis superba,n,linear,graminoid,sparse_upward_graminoid,10,straight_herb,low,10,12.95,10,0.49,10,60,46.4,10,13.44,6.505,10,1
Eriosema sp. 1,n,palmately_compound,forb,messy_forb,10,messy_herb,medium,10,8.39,10,8.43,10,190,42.1,10,16.82,75.154,10,2
Euclea divinorum,n,simple,shrub,shrub_multi_stemmed,10,multi_stemmed_woody,high,10,7.13,10,2.64,10,200,131.9,10,9.77,20.593,10,3
Euclea undulata,n,pinnately_compound,tree,tree_multi_stemmed,20,multi_stemmed_woody,medium,20,2.335,20,1.14,20,450,320.4,20,3.475,2.8635,20,2
Euphorbia mauritanica,n,succulent,forb,succulent_round_forb,1,round_herb,high,1,0.6,1,0.2,1,161,161,1,0.8,0.12,1,3
Evolvulus alsinoides,n,simple,forb,straight_forb,14,straight_herb,low,14,1.40714285714286,14,0.521428571428571,14,33,15.3785714285714,14,1.92857142857143,0.765,14,1
Evolvulus sericeus,n,simple,forb,straight_forb,10,straight_herb,low,10,1.66,10,0.73,10,30,23.9,10,2.39,1.38,10,1
Fabaceae sp. 5,n,palmately_compound,forb,straight_forb,2,straight_herb,low,2,1.25,2,2.75,2,35,32.5,2,4,3.875,2,1
Flueggea verrucosa,n,simple,shrub,shrub_multi_stemmed,5,multi_stemmed_woody,high,5,1.46,5,1,5,214,188.2,5,2.46,1.534,5,3
Flueggea virosa,n,simple,shrub,shrub_multi_stemmed,12,multi_stemmed_woody,medium,12,1.9,12,1.18333333333333,12,140,108,12,3.08333333333333,2.37,12,2
Gardenia volkensii,n,simple,shrub,shrub_single_stemmed,2,single_stemmed_woody,high,2,3.15,2,1.25,2,84,48,2,4.4,3.975,2,3
Grewia bicolor,n,simple,shrub,shrub_multi_stemmed,8,multi_stemmed_woody,high,8,6.7,8,2.9625,8,220,171,8,9.6625,20.8925,8,3
Grewia flava,n,simple,shrub,shrub_multi_stemmed,1,multi_stemmed_woody,medium,1,4.5,1,2,1,120,120,1,6.5,9,1,2
Grewia flavescens,n,simple,tree,shrub_multi_stemmed,8,multi_stemmed_woody,high,8,6.225,8,2.7125,8,250,138.25,8,8.9375,18.05875,8,3
Grewia occidentalis,n,simple,shrub,shrub_multi_stemmed,9,multi_stemmed_woody,low,9,3.58181818181818,11,2.26363636363636,11,250,128,9,5.84545454545455,8.81181818181818,11,1
Grewia villosa,n,simple,shrub,shrub_single_stemmed,1,single_stemmed_woody,low,1,10,1,9,1,185,185,1,19,90,1,1
Gymnosporia buxifolia,>2,simple,shrub,shrub_single_stemmed,12,single_stemmed_woody,medium,12,4.23333333333333,15,1.14,15,266,129.833333333333,12,5.37333333333333,4.894,15,2
Gymnosporia maranguensis,>2,simple,tree,tree_single_stemmed,2,single_stemmed_woody,medium,2,2.45,2,0.95,2,215,212.5,2,3.4,2.59,2,2
Gymnosporia polyacanthus,>2,simple,shrub,shrub_single_stemmed,20,single_stemmed_woody,extremely_thick,20,3.685,20,0.9,20,207,120.375,20,4.585,3.435,20,4
Gymnosporia senegalensis,>2,simple,shrub,shrub_multi_stemmed,8,multi_stemmed_woody,medium,8,5.8375,8,2.4125,8,268,151.5,8,8.25,14.15,8,2
Hairy climber,n,simple,forb,climbing_forb,5,climbing_herb,low,5,6.74,5,2.98,5,105,69.2,5,9.72,20.544,5,1
