species,spines,leaf_type,growth_form,leaf_length,leaf_width,plant_height_max,biomass_density
Pelargonium peltatum,n,succulent,succulent_climbing_forb,4.31,4.11,161,low
Perotis patens,n,simple,sparse_upward_graminoid,2.66666666666667,0.7,18,low
Philenoptera violacea,n,palmately_compound,shrub_multi_stemmed,15.2636363636364,10.3818181818182,340,high
Phyllanthus asperulatus,n,simple,straight_forb,1.68,0.72,70,low
Phyllanthus maderaspatensis,n,simple,straight_forb,1.925,0.441666666666667,47,low
Phyllanthus tenellus,n,pinnately_compound,straight_forb,3.93333333333333,1.78333333333333,38,low
Pigea serrata,n,simple,straight_forb,4.36,0.86,45,medium
Plectranthus madagascariensis,n,simple,messy_forb,3.42,3.26,50.3,high
Plumbago auriculata,n,simple,round_forb,5.6,2.15,90,high
Poaceae sp. 1,n,linear,sparse_upward_graminoid,10.25,0.35,40,low
Pogonarthria squarrosa,n,linear,sparse_upward_graminoid,13.98,0.34,16,low
Polygala sphenoptera,n,simple,round_forb,2.35,0.95,20,low
Portulacaria afra,n,succulent,succulent_shrub_multi_stemmed,1.965,1.36,450,extremely_thick
Pristimera longipetiolata,n,simple,shrub_single_stemmed,9,2,90,low
Ptaeroxylon obliquum,n,pinnately_compound,tree_single_stemmed,11,5.18,480,medium
Ptycholobium plicatum,n,palmately_compound,creeping_forb,3.1,3.28,32,medium
Pupalia lappacea,n,simple,straight_forb,6.6125,3.0625,46,low
Putterlickia pyracantha,>2,simple,shrub_multi_stemmed,2.5,1.2,163,high
Putterlickia verrucosa,>2,simple,shrub_single_stemmed,2.5,2,210,medium
Rhoicissus digitata,n,palmately_compound,climbing_forb,9.75,9.3,330,low
Rhoicissus tridentata,n,palmately_compound,creeping_forb,3.56,3.50666666666667,80,low
Rhynchosia totta,n,palmately_compound,climbing_forb,3.7,4.28571428571429,60,low
Ruellia patula,n,simple,straight_forb,3.1625,1.8375,41,medium
Sansevieria hyacinthoides,n,linear,round_forb,35.4,4.175,60,low
Schmidtia pappophoroides,n,linear,sparse_upward_graminoid,10.92,0.42,65,low
Schotia afra,n,pinnately_compound,tree_single_stemmed,4.145,2.095,520,medium
Sclerocarya birrea,n,pinnately_compound,tree_single_stemmed,18.2857142857143,10.0714285714286,1300,high
Scutia myrtina,<2,simple,shrub_multi_stemmed,2.7375,1.7,270,low
Searsia incisa,n,palmately_compound,shrub_multi_stemmed,3.64,3.39,310,high
Searsia laevigata,>2,pinnately_compound,shrub_multi_stemmed,4.5,3.8,342,low
Searsia pterota,>2,palmately_compound,shrub_single_stemmed,4.965,4.23,250,low
Selago corymbosa,n,simple,round_forb,1.12,0.1,26,low
Senecio angulatus,n,simple,messy_forb,3.16666666666667,2.5,65,low
Senegalia caffra,<2,pinnately_compound,shrub_single_stemmed,3.5,2.7,400,low
Senegalia nigrescens,<2,pinnately_compound,shrub_single_stemmed,6.87142857142857,4.36190476190476,1300,medium
Sesbania bispinosa,n,pinnately_compound,straight_forb,27.4,3.94,210,low
Setaria sphacelata,n,linear,sparse_upward_graminoid,31.43,0.74,120,low
Sideroxylon inerme,n,simple,tree_multi_stemmed,5.25,2.48,450,medium
Soft leaf shrub,n,simple,shrub_multi_stemmed,5.59,1.95,130,high
Solanum campylacanthum,n,simple,straight_forb,12.324,3.872,149,medium
Sorghum versicolor,n,linear,sparse_upward_graminoid,28.05,0.85,120,low
Spirostachys africana,n,simple,shrub_single_stemmed,4.56,1.74,500,low
Sporobolus nitens,n,linear,relaxed_tussock_graminoid,9.85,0.65,8,medium
Stachytarpheta indica,n,simple,straight_forb,7.51666666666667,1.03333333333333,50,low
Strychnos madagascariensis,n,simple,shrub_multi_stemmed,2.5,1.05,26,medium
Syncolostemon bracteosus,n,simple,straight_forb,4.68888888888889,1.45555555555556,33,high
Talinum afrum,n,simple,straight_forb,2.71428571428571,0.714285714285714,20,low
Tephrosia polystachya,n,pinnately_compound,round_forb,8.31111111111111,5.44444444444445,60,low
Tephrosia purpurea,n,pinnately_compound,messy_forb,5.05652173913044,3.30869565217391,46,low
Themeda triandra,n,linear,relaxed_tussock_graminoid,17.9208333333333,0.45,110,low
Thunbergia natalensis,n,simple,round_forb,4,4,21,medium
Trachypogon spicatus,n,linear,large_graminoid,61.8333333333333,0.688888888888889,106,high
Tragia dioica,n,simple,climbing_forb,4.30909090909091,1.82727272727273,51,low
Tragus berteronianus,n,linear,sparse_upward_graminoid,3.85714285714286,0.385714285714286,16,low
Tricliceras schinzii,n,lobed,round_forb,12,1.6,20,medium
Trimeria grandifolia,n,simple,straight_forb,5.5,2.7,90,low
Urochloa mosambicensis,n,linear,sparse_upward_graminoid,14.0538461538462,1.00769230769231,82,low
Vachellia exuvialis,>2,pinnately_compound,tree_multi_stemmed,6.85,3.63333333333333,260,medium
Vachellia gerrardii,>2,pinnately_compound,tree_single_stemmed,4.90909090909091,2.8,420,medium
Vachellia grandicornuta,>2,pinnately_compound,tree_single_stemmed,4.9,4.4,1200,high
Vachellia karroo,>2,pinnately_compound,tree_single_stemmed,6.25,4,600,medium
Vachellia tortillis,<2,pinnately_compound,tree_multi_stemmed,4.53333333333333,2.96666666666667,700,medium
Vigna vexillata,n,palmately_compound,creeping_forb,8.23333333333333,6.53333333333333,85,medium
Viscum rotundifolia,n,simple,parasite,1,0.9,27,low
Volkameria glabra,n,simple,shrub_single_stemmed,5.85,2.95,150,high
Waltheria indica,n,simple,straight_forb,5.03,2.84,61,medium
