mean_2d,mean_3d,mean_Z,mean_height,adjusted_mean_2d,adjusted_mean_3d,median_2d,median_3d,median_Z,median_height,sd_2d,sd_3d,sd_Z,sd_height,point_fraction,plot_id
1.39356954528294,1.60275307572869,0.165953358297649,1.12595335829771,2.48095469990583,2.8533615631004,1.15060766554026,1.33495168451896,0.109,1.069,0.934013159596788,0.925562679797091,0.763889085821846,1.069,0.561706969230769,pnr_out_9
2.00705317481711,2.55121484042197,0.91273345349255,1.85273345349125,3.65490549853817,4.64584061110396,1.53549763920366,1.89633224936982,0.15,1.09,1.46921007309088,1.87591626896784,1.73431139470081,1.09,0.549139553846154,pnr_out_8
2.21752799158893,3.24800393769429,1.46590711346413,2.37590711346409,3.04763852048229,4.46386334366066,1.71642069435206,3.11428595347312,0.94,1.85,1.69345798879605,1.9738539284268,2.12403271281014,1.85,0.727621723076923,pnr_out_7
1.83351352378659,2.2931860265432,0.703197558152506,1.64319755815253,4.81408714634694,6.02100678906636,1.16169531289405,1.44227095235256,-0.104,0.836,1.67427709580963,1.93319624758008,1.52855732617561,0.836,0.380864215384615,pnr_out_6
1.90090510786807,2.32270353309751,0.431416497384145,1.37141649738425,4.0864849415418,4.99324925393785,1.39476808108015,1.80428656260584,-0.332,0.608,1.47469139966981,1.62541882524697,1.43619739773638,0.608,0.465168753846154,pnr_out_5
2.04338364623653,2.48228777208135,0.673119960947481,1.60311996094789,5.11771607980351,6.21696472381861,1.48473903430872,1.69191016309968,-0.157,0.773,1.59171946439445,1.87206662815719,1.58250056616762,0.773,0.399276476923077,pnr_out_4
1.49710442567506,1.66137249269002,-0.504331052336175,0.435668947663815,4.12084441876492,4.5729993489961,1.11183182181479,1.28430097718564,-0.581,0.359,1.18874357340666,1.11258350974987,0.298693625300125,0.359,0.3633004,pnr_out_3
1.47234739701684,1.61305215076182,-0.434578559530611,0.535421440469383,4.25397855421857,4.6605096528713,1.06118848467179,1.21392339132253,-0.516,0.454,1.17442998066723,1.1099310709654,0.312942603168915,0.454,0.346110676923077,pnr_out_2
1.50579311494055,1.66091657582932,-0.390504521825526,0.549495478174482,3.88514955538857,4.28538902993694,1.02206898005957,1.21455382754327,-0.5,0.44,1.25583044903828,1.19511774977962,0.435813627422452,0.44,0.387576615384615,pnr_out_18
1.15295129825375,1.32492234790371,0.060981931983584,1.00098193198365,3.415299940737,3.92471670150353,0.917694938419081,1.08884985190797,-0.106,0.834,0.816364997519894,0.816612848587982,0.650237256973596,0.834,0.3375842,pnr_out_17
1.42136046492485,1.61257547410001,0.137432582585121,1.07743258258512,3.88671622935067,4.4095944842315,1.12061991772411,1.20322150911626,-0.162,0.778,0.995995772393354,1.10630397099919,0.890588173566771,0.778,0.365697,pnr_out_16
