plot_id,site_id,elevation_plot,map_plot,mat_plot,npp_plot,ndvi_plot,evi_plot,fire_frequency,years_since_last_fire,last_fire_year
knp_nkuhlu_full_out_9,knp_nkuhlu_full_out,231,562,22.8500003814697,6806.3333333,4890.2968127,2728.7689243,0.0434783,1,2023
knp_nkuhlu_full_out_10,knp_nkuhlu_full_out,231,562,22.8500003814697,6806.3333333,4890.2968127,2728.7689243,0.0434783,1,2023
knp_nkuhlu_full_out_11,knp_nkuhlu_full_out,228.421585083008,562,22.8500003814697,6806.3333333,4890.2968127,2728.7689243,0.0434783,1,2023
knp_nkuhlu_full_out_12,knp_nkuhlu_full_out,226.000015258789,566.269714355469,22.9101371765137,6806.3333333,4890.2968127,2728.7689243,0.0434783,1,2023
knp_nkuhlu_full_out_13,knp_nkuhlu_full_out,227,569.100036621094,22.9499988555908,6806.3333333,4890.2968127,2728.7689243,0.0434783,1,2023
knp_nkuhlu_full_out_14,knp_nkuhlu_full_out,226.914016723633,569.099975585938,22.9500007629395,6800.4431818,4882.1499636,2725.0173581,0.0434783,1,2023
knp_nkuhlu_full_out_15,knp_nkuhlu_full_out,225,569.099975585938,22.9499988555908,6791.2655039,4869.4560359,2719.1718946,0.0434783,1,2023
knp_nkuhlu_full_in_13,knp_nkuhlu_full_in,225.7177734375,569.100036621094,22.9500007629395,6806.3333333,4890.2968127,2728.7689243,0.0434783,1,2023
knp_nkuhlu_full_in_14,knp_nkuhlu_full_in,224.313674926758,569.099975585938,22.9500007629395,6796.851626,4877.1823727,2722.7298178,0.0434783,1,2023
knp_nkuhlu_full_in_15,knp_nkuhlu_full_in,223.13362121582,569.099975585938,22.9499988555908,6784.2093496,4859.6964527,2714.6776758,0.0434783,1,2023
knp_satara_in_10,knp_satara_in,297,535.100036621094,22.75,5590.3229167,4064.869018,2306.4340936,0.0869565,4,2020
knp_satara_in_11,knp_satara_in,298.290069580078,535.099975585938,22.75,5599.0912698,4068.6801412,2309.404403,0.0900621,4,2020
knp_satara_in_12,knp_satara_in,299,535.100036621094,22.75,5618.5473485,4077.0586031,2316.0441556,0.0968379,4,2020
knp_nkuhlu_full_in_16,knp_nkuhlu_full_in,222.000015258789,569.100036621094,22.9500007629395,6779.8276515,4853.6359917,2711.8868766,0.0434783,1,2023
knp_nkuhlu_full_in_17,knp_nkuhlu_full_in,222,569.099975585938,22.9500007629395,6760.2592593,4826.5703486,2699.4233402,0.0434783,1,2023
knp_nkuhlu_full_in_18,knp_nkuhlu_full_in,220.014526367188,569.099975585938,22.9499988555908,6740.1018519,4798.6900205,2686.5846471,0.0434783,1,2023
knp_nkuhlu_full_out_16,knp_nkuhlu_full_out,224.000015258789,569.099975585938,22.9500007629395,6768.4065041,4837.8390526,2704.6124983,0.0434783,1,2023
knp_nkuhlu_full_out_17,knp_nkuhlu_full_out,224,569.100036621094,22.9499988555908,6754.5,4818.6045406,2695.7551422,0.0434783,1,2023
knp_nkuhlu_full_out_18,knp_nkuhlu_full_out,219.133544921875,569.099975585938,22.9500007629395,6736.800813,4794.1242525,2684.4821434,0.0434783,1,2023
knp_satara_in_1,knp_satara_in,297,535.099975585938,22.75,5587.2907609,4064.2788269,2304.9505218,0.0869565,4,2020
knp_satara_in_2,knp_satara_in,297.109191894531,535.099975585938,22.75,5584.9583333,4063.8248337,2303.8093126,0.0869565,4,2020
knp_satara_in_3,knp_satara_in,297.398529052734,535.100036621094,22.75,5584.9583333,4063.8248337,2303.8093126,0.0869565,4,2020
knp_satara_in_4,knp_satara_in,299,535.099975585938,22.75,5596.8796296,4066.1452433,2309.6421593,0.0869565,4,2020
knp_satara_in_5,knp_satara_in,299,535.100036621094,22.75,5600.6595528,4066.8809829,2311.4915985,0.0869565,4,2020
knp_satara_in_6,knp_satara_in,299,535.099975585938,22.75,5594.4953704,4065.6811614,2308.47559,0.0869565,4,2020
knp_satara_in_7,knp_satara_in,300,535.099975585938,22.75,5584.9583333,4063.8248337,2303.8093126,0.0869565,4,2020
knp_satara_in_8,knp_satara_in,299,535.099975585938,22.7500019073486,5584.9583333,4063.8248337,2303.8093126,0.0869565,4,2020
knp_satara_in_9,knp_satara_in,299,535.099975585938,22.75,5584.9583333,4063.8248337,2303.8093126,0.0869565,4,2020
knp_satara_in_15,knp_satara_in,296.082641601563,535.099975585938,22.75,5663.1646825,4097.2855015,2330.6352368,0.1138716,4,2020
knp_satara_in_16,knp_satara_in,296,535.100036621094,22.75,5685.5909091,4104.5505773,2337.982838,0.1205534,4,2020
knp_satara_in_17,knp_satara_in,296,535.099975585938,22.75,5702.621124,4111.7827862,2343.8164299,0.1263903,4,2020
knp_satara_in_18,knp_satara_in,296.471008300781,535.099975585938,22.75,5714.523374,4116.758874,2347.8818593,0.1304348,4,2020
knp_satara_out_7,knp_satara_out,298,535.099975585938,22.7499980926514,5650.2663043,4076.5366429,2335.7631683,0.0869565,4,2020
